tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
6:27.57,,BASSO Alessandro,2002,AM,U.S. MAURINA OLIO CARLI,9 su- 1,Bressanone,2019-05-26,https://www.fidal.it/atleta/BASSO-Alessandro/daqRkpKkcWc%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
6:27.64,,TAINO Geremia,2002,AM,CREMONA SPORTIVA ATL. ARVEDI,2 su- 1,Olgiate Olona,2019-04-14,https://www.fidal.it/atleta/TAINO-Geremia/dqyRlpmmbmU%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
6:27.67,,PEDRANA Stefano,2002,AM,G. ALPINISTICO VERTOVESE,2 su- 1,Mariano Comense,2019-05-04,https://www.fidal.it/atleta/PEDRANA-Stefano/dqmRmJKicWM%3D,https://www.fidal.it/societa/G--ALPINISTICO-VERTOVESE/BG135
6:27.95,,CHIARI Luca,2002,AM,ATL. BERGAMO 1959 ORIOCENTER,5 su- 1,Bergamo,2019-09-28,https://www.fidal.it/atleta/CHIARI-Luca/dqmRmJaicWw%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003
6:28.00,,TAINO Geremia,2002,AM,CREMONA SPORTIVA ATL. ARVEDI,10 su- 1,Bressanone,2019-05-26,https://www.fidal.it/atleta/TAINO-Geremia/dqyRlpmmbmU%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
6:28.30,,BOTTI Flavio,2002,AM,FIAMME GIALLE G. SIMONI,2 su- 1,Roma,2019-06-08,https://www.fidal.it/atleta/BOTTI-Flavio/f6yRlJalaWU%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
6:28.31,,CINCINI Gianmarco,2002,AM,FIAMME GIALLE G. SIMONI,2 su- 1,Rieti,2019-05-18,https://www.fidal.it/atleta/CINCINI-Gianmarco/f6yRlJOmbmY%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
6:28.46,,MATTA Davide,2002,AM,ATLETICA GIO' 22 RIVERA,1 su- 1,Biella,2019-05-18,https://www.fidal.it/atleta/MATTA-Davide/dK6RlpalamY%3D,https://www.fidal.it/societa/ATLETICA-GIO-22-RIVERA/TO004
6:28.56,,RICCERI Leonardo,2003,AM,ATLETICA FIRENZE MARATHON S.S.,8 se- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/RICCERI-Leonardo/faqRkpWgbms%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002
6:28.57,,RONCHETTI Gian marco,2002,AM,A.S. LA FRATELLANZA 1874,2 su- 1,Modena,2019-09-21,https://www.fidal.it/atleta/RONCHETTI-Gian-marco/eqyRkpamb2Y%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
6:29.05,,CANALI Federico,2002,AM,A.S.D. ATLETICA FUTURA ROMA,9 se- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/CANALI-Federico/f6yRlJWgaWQ%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-FUTURA-ROMA/RM555
6:29.20,,ALLAZZETTA Alessio,2002,AM,ATLETICA CANAVESANA,14 se- 2,Agropoli,2019-06-21,https://www.fidal.it/atleta/ALLAZZETTA-Alessio/dK6RlZagamo%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
6:29.23,,PINTUS Matteo,2002,AM,NUOVA ATLETICA ASTRO,3 su- 1,Saronno,2019-09-14,https://www.fidal.it/atleta/PINTUS-Matteo/dq2Rl5qjaWk%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-ASTRO/MI212
6:29.57,,CARESANI Devid,2002,AM,ATLETICA TIONE,2 su- 1,Cles,2019-05-04,https://www.fidal.it/atleta/CARESANI-Devid/d6iRk5imaGc%3D,https://www.fidal.it/societa/ATLETICA-TIONE/TN501
