tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
55:52,,LUISI Fedele,1993,AM,AMATORI ATL. ACQUAVIVA,18 su- 1,Campobasso,2010-10-17,https://www.fidal.it/atleta/LUISI-Fedele/hKmRkpOjbmw%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
55:53,,LANDI Nicola,1993,AM,C.F.F.S. COGOLETO,2 su- 1,Villar Dora,2010-04-18,https://www.fidal.it/atleta/LANDI-Nicola/daiUlpKfcGY%3D,https://www.fidal.it/societa/C-F-F-S--COGOLETO/GE008
55:53,,LUISI Fedele,1993,AM,AMATORI ATL. ACQUAVIVA,10 su- 1,Lanuvio,2010-05-23,https://www.fidal.it/atleta/LUISI-Fedele/hKmRkpOjbmw%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
55:55,,AMOROSO Michele,1993,AM,ATLETICA FIRENZE MARATHON S.S.,11 su- 1,Lanuvio,2010-05-23,https://www.fidal.it/atleta/AMOROSO-Michele/faiRm5mfbmY%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002
56:36,,RONCHI Mattia,1994,AM,ATL. RIGOLETTO,25 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/RONCHI-Mattia/dqmRlpunaGk%3D,https://www.fidal.it/societa/ATL--RIGOLETTO/MN406
57:02,,VECCHIONE Luca,1993,AM,GRUPPO SPORTIVO VIRTUS,19 su- 1,Campobasso,2010-10-17,https://www.fidal.it/atleta/VECCHIONE-Luca/g6iRkpejaGw%3D,https://www.fidal.it/societa/GRUPPO-SPORTIVO-VIRTUS/CB005
57:08,,LUISI Fedele,1993,AM,AMATORI ATL. ACQUAVIVA,17 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/LUISI-Fedele/hKmRkpOjbmw%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
57:55,,DIDIO Vincenzo,1993,AM,ECOSPORT SB. 2000 MONTE ASC,20 su- 1,Campobasso,2010-10-17,https://www.fidal.it/atleta/DIDIO-Vincenzo/haiRk5WkcWU%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
58:13,,CAROTENUTO Loris,1993,AM,ECOSPORT SB. 2000 MONTE ASC,26 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/CAROTENUTO-Loris/haiRk5Smbmo%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
58:31,,GIFRA Simone,1993,AM,ATLETICA MIZUNO PIEMONTE ASSOC,12 su- 1,Lanuvio,2010-05-23,https://www.fidal.it/atleta/GIFRA-Simone/dKmRk5enaWo%3D,https://www.fidal.it/societa/ATLETICA-MIZUNO-PIEMONTE-ASSOC/TO226
59:13,,RONCHI Mattia,1994,AM,ATL. RIGOLETTO,13 su- 1,Lanuvio,2010-05-23,https://www.fidal.it/atleta/RONCHI-Mattia/dqmRlpunaGk%3D,https://www.fidal.it/societa/ATL--RIGOLETTO/MN406
59:13,,SCHENA Francesco,1994,AM,A.S.D. ATLETICA DON MILANI,27 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/SCHENA-Francesco/hK2RkpKjcWs%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
59:14,,RONCHI Mattia,1994,AM,ATL. RIGOLETTO,5 su- 1,Villa Di Serio,2010-10-17,https://www.fidal.it/atleta/RONCHI-Mattia/dqmRlpunaGk%3D,https://www.fidal.it/societa/ATL--RIGOLETTO/MN406
1h00:38,,ZACCARIA Fabio,1992,JM,ECOSPORT SB. 2000 MONTE ASC,19 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/ZACCARIA-Fabio/hKqSmZOfcGs%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
1h00:53,,ZACCARIA Fabio,1992,JM,ECOSPORT SB. 2000 MONTE ASC,14 su- 1,Napoli Scampia,2010-07-10,https://www.fidal.it/atleta/ZACCARIA-Fabio/hKqSmZOfcGs%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
1h01:05,,CERA Salvatore ippazio,1993,AM,A.S.D. ATLETICA DON MILANI,20 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/CERA-Salvatore-ippazio/hK2RkpKfaGs%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
1h01:05,,MINEI Vito,1994,AM,A.S.D. ATLETICA DON MILANI,21 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/MINEI-Vito/hK2RkpKgcGU%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
1h01:32,,DIDIO Vincenzo,1993,AM,ECOSPORT SB. 2000 MONTE ASC,22 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/DIDIO-Vincenzo/haiRk5WkcWU%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
1h01:53,,FAZIO Giuseppe,1993,AM,AMATORI ATL. ACQUAVIVA,14 su- 1,Lanuvio,2010-05-23,https://www.fidal.it/atleta/FAZIO-Giuseppe/hKmRkpOjb2M%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
1h03:08,,CUSCUNA' Giancarlo antonio,1976,SM,ATLETICA BRUGNERA FRIULINTAGLI,19 su- 1,Borgo Valsugana,2010-05-30,https://www.fidal.it/atleta/CUSCUNA-Giancarlo-antonio/eaqRkpikcGU%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
1h03:10,,DIDIO Vincenzo,1993,AM,ECOSPORT SB. 2000 MONTE ASC,15 su- 1,Napoli Scampia,2010-07-10,https://www.fidal.it/atleta/DIDIO-Vincenzo/haiRk5WkcWU%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
1h04:42,,FAZIO Giuseppe,1993,AM,AMATORI ATL. ACQUAVIVA,28 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/FAZIO-Giuseppe/hKmRkpOjb2M%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
1h05:27,,MANGIA Antonio,1987,SM,ECOSPORT SB. 2000 MONTE ASC,23 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/MANGIA-Antonio/haiRkpqkb2s%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
1h05:39,,DIDIO Vincenzo,1993,AM,ECOSPORT SB. 2000 MONTE ASC,15 su- 1,Lanuvio,2010-05-23,https://www.fidal.it/atleta/DIDIO-Vincenzo/haiRk5WkcWU%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
1h09:48,,TRAVERSA Francesco,1993,AM,AMATORI ATL. ACQUAVIVA,29 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/TRAVERSA-Francesco/hKiSmpOja2g%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
44:40,,DI VINCENZO Sibilla,1983,SF,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/DI-VINCENZO-Sibilla/gaiRkpalbmk%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PADOVA/PD140
45:11,,GIORDANO Rossella,1972,SF35,G.S. FIAMME AZZURRE,2 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/GIORDANO-Rossella/dKiRkpKoaWs%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
45:25,,GIORGI Eleonora anna,1989,PF,G.S. FIAMME AZZURRE,3 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/GIORGI-Eleonora-anna/dquRkpWhb2g%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
45:49,,PALMISANO Antonella,1991,JF,A.S.D. ATLETICA DON MILANI,1 su- 1,Podebrady,2010-04-10,https://www.fidal.it/atleta/PALMISANO-Antonella/hKiSmpSjb2o%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
46:12,,PALMISANO Antonella,1991,JF,G.A. FIAMME GIALLE,4 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/PALMISANO-Antonella/hKiSmpSjb2o%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
46:36,,DELL'AQUILA Nicoletta,1988,PF,ALTERATLETICA LOCOROTONDO,5 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/DELL-AQUILA-Nicoletta/hKiSmZSja2c%3D,https://www.fidal.it/societa/ALTERATLETICA-LOCOROTONDO/BA089
46:38,,GRANGE Francesca,1989,PF,ITALGEST ATHLETIC CLUB,6 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/GRANGE-Francesca/dK6RlJOocWg%3D,https://www.fidal.it/societa/ITALGEST-ATHLETIC-CLUB/MI221
